,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2022-10-06,"Oct 06, 2022",Martin Grummer ,523 Lomas Blvd. NW,"First Choice Equity Builders Inc., Martin Grummer Architect",,2010,50000.0,"$50,000.00",BP-2022-34353,Commercial,alterations,523,LOMAS,BLVD,NW,,285,24,ARMIJO--PERFECTO & BROTHERS ADDN,2010,50000,MARTIN GRUMMER - CU23278024,"FIRST CHOICE EQUITY BUILDERS, INC., MARTIN GRUMMER ARCHITECT",20221006,
1,2022-10-06,"Oct 06, 2022",Barber ,111 Coors Blvd. NW,"Del Rio Signs, LLC",,0,0.0,,GP-2022-37076,Commercial,a commercial sign,111,COORS,BLVD,NW,,A1A2A,0000,HUBBELL PLAZA,0,0,BARBER ,"DEL RIO SIGNS, LLC",20221006,0
2,2022-10-06,"Oct 06, 2022",El Molcajeton,4921 Jefferson St. NE,Electrical Products Co.,,0,1800.0,"$1,800.00",GP-2022-38115,Commercial,a commercial sign,4921,JEFFERSON,ST,NE,,2A3B,0000,MCLEOD BUSINESS PARK,0,1800,EL MOLCAJETON,ELECTRICAL PRODUCTS COMPANY,20221006,0
3,2022-10-06,"Oct 06, 2022",Graze Craze Charcuterie Boards & Boxes,4770 Montgomery Blvd. NE,"Signplex, LLC",,0,0.0,,GP-2022-38013,Commercial,a commercial sign,4770,MONTGOMERY,BLVD,NE,,B9,A,VISTA GRANDE ADDN UNIT 1,0,0,GRAZE CRAZE CHARCUTERIE BOARDS & BOXES,"SIGNPLEX, LLC",20221006,0
4,2022-10-06,"Oct 06, 2022",Your Vote Center ,5241 Ouray Road NW,"Del Rio Signs, LLC",,0,0.0,,GP-2022-38911,Commercial,a commercial sign,5241,OURAY,RD,NW,,10,0000,WEST BLUFF CENTER,0,0,YOUR VOTE CENTER ,"DEL RIO SIGNS, LLC",20221006,0
5,2022-10-06,"Oct 06, 2022",Martin Grummer ,99999 Lomas Blvd. NW,"First Choice Equity Builders Inc., Martin Grummer Architect",,48,20000.0,"$20,000.00",BP-2022-28936,Commercial,shell building,99999,LOMAS,BLVD,NW,,A,18,ARMIJO--PERFECTO & BROTHERS ADDN,48,20000,MARTIN GRUMMER - CU23278024,"FIRST CHOICE EQUITY BUILDERS, INC., MARTIN GRUMMER ARCHITECT",20221006,
6,2022-10-06,"Oct 06, 2022",American Real Estate ,2217 4Th St. NW,Alan White Signs Llc,,0,0.0,,GP-2022-38321,Commercial,a commercial sign,2217,4TH,ST,NW,,C1,0000,ALEXANDER CENTER,0,0,AMERICAN REAL ESTATE ,ALAN WHITE SIGNS LLC,20221006,0
7,2022-10-06,"Oct 06, 2022",5-11 Tactical,10200 Coors Blvd. NW,Electrical Products Co.,,0,1800.0,"$1,800.00",GP-2022-39004,Commercial,a commercial sign,10200,COORS,BLVD,NW,,M1A3,0000,SEVEN BAR RANCH,0,1800,5-11 TACTICAL,ELECTRICAL PRODUCTS COMPANY,20221006,0
8,2022-10-06,"Oct 06, 2022",Delia Barrett ,2600 12Th St. NW,"Hart Design And Construction Inc., Studio Southwest Architects",,3049,761000.0,"$761,000.00",BP-2022-16400,Commercial,alterations,2600,12th,ST,NW,,84E,0000,MRGCD MAP 35,3049,761000,DELIA BARRETT - CU33336253,"HART DESIGN AND CONSTRUCTION INC., STUDIO SOUTHWEST ARCHITECTS",20221006,
9,2022-10-06,"Oct 06, 2022",Burn Boot Camp,8200 Carmel Ave. NE,Electrical Products Co.,,0,1800.0,"$1,800.00",GP-2022-38120,Commercial,a commercial sign,8200,CARMEL,AV,NE,,12A,20,N ABQ ACRES TR 2 UNIT 3,0,1800,BURN BOOT CAMP,ELECTRICAL PRODUCTS COMPANY,20221006,0
10,2022-10-05,"Oct 05, 2022",Colliers International Hrr Llc,5001 Indian School Road NE,Positive Energy Solar,,0,44287.0,"$44,287.00",GP-2022-27700,Commercial,a roof mounted solar project,5001,INDIAN SCHOOL,RD,NE,,F2,0000,NETHERWOOD PARK ADDN SECOND FILING,0,44287,COLLIERS INTERNATIONAL HRR LLC,POSITIVE ENERGY SOLAR,20221005,0
11,2022-10-05,"Oct 05, 2022",Jeff Hayes ,1433 Central Ave. NW,Bear Restoration,,1458,98075.0,"$98,075.00",BP-2022-31660,Commercial,shell building,1433,CENTRAL,AV,NW,,92,0000,MRGCD MAP 38,1458,98075,JEFF HAYES - CU68888422,BEAR RESTORATION,20221005,
12,2022-10-05,"Oct 05, 2022",Ch Retail Fund ,6400 Holly Ave. NE,Horizon Electric Signs,,0,0.0,,GP-2022-30013,Commercial,a commercial sign,6400,HOLLY,AV,NE,,2A,0000,DEL NORTE PLAZA,0,0,CH RETAIL FUND ,HORIZON ELECTRIC SIGNS,20221005,0
13,2022-10-05,"Oct 05, 2022",Jennifer Mcclain ,6001 Menaul Blvd. NE,Enterprise Builders Corp.,,4820,1000000.0,"$1,000,000.00",BP-2022-04412,Commercial,alterations,6001,MENAUL,BLVD,NE,,20A,1,VISTA ENCANTADA,4820,1000000,JENNIFER MCCLAIN - CU138234436,ENTERPRISE BUILDERS CORPORATION,20221005,
14,2022-10-04,"Oct 04, 2022",Jane Swallows ,857 Sunset  SW,"Budagher Co., J5 Infrastructure Partners",,10,30000.0,"$30,000.00",BP-2022-02916,Commercial,a new building,857,SUNSET,DR,SW,,66,0000,WESTVIEW TOWNHOMES ADDN,10,30000,JANE SWALLOWS - CU94536665,"BUDAGHER CO., J5 INFRASTRUCTURE PARTNERS",20221004,
15,2022-10-04,"Oct 04, 2022",Formative Architecture ,111 Harvard  SE,"Insight Construction, LLC, Formative Architecture",,3986,250000.0,"$250,000.00",BP-2022-29853,Commercial,alterations,111,HARVARD,DR,SE,,22,1,UNIVERSITY HEIGHTS,3986,250000,FORMATIVE ARCHITECTURE - CU42313490,"INSIGHT CONSTRUCTION, LLC, FORMATIVE ARCHITECTURE",20221004,
16,2022-10-04,"Oct 04, 2022",Chris Alexander ,5700 San Antonio  NE,"Alexander, Pat Enterprises Inc.",,1762,65000.0,"$65,000.00",BP-2022-14553,Commercial,alterations,5700,SAN ANTONIO,DR,NE,,5A1,0000,JJ,1762,65000,CHRIS ALEXANDER - CU72729621,"ALEXANDER, PAT ENTERPRISES, INC.",20221004,
17,2022-10-04,"Oct 04, 2022",Angelo Brunacini C/O Bluewater At Airport Opportunity Llc,7200 Bluewater Road NW,Horizon Electric Signs,,0,5000.0,"$5,000.00",GP-2022-29402,Commercial,a commercial sign,7200,BLUEWATER,RD,NW,,C3,0000,ATRISCO BUSINESS PARK UNIT 2,0,5000,ANGELO BRUNACINI C/O BLUEWATER AT AIRPORT OPPORTUNITY LLC,HORIZON ELECTRIC SIGNS,20221004,0
