,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2021-02-26,"February 26, 2021",Kevin Juno - Cu63388370,2421 Aztec Road NE,"Keenan Construction Ltd Co, Juno Architects",Alterations,35197,86000.0,"$86,000.00",BP-2021-03038,Commercial,Alterations,2421,AZTEC,RD,NE,,D SELY PORTION OF,D,INDIAN ACRES,35197,86000,KEVIN JUNO - CU63388370,"KEENAN CONSTRUCTION LTD CO, JUNO ARCHITECTS",20210226,1
1,2021-02-26,"February 26, 2021",Nelson Kimball - Cu104962022,201 Aliso  SE,"Kimball Contractors, LLC",Addition,94,16000.0,"$16,000.00",BP-2020-41921,Commercial,Addition,201,ALISO,DR,SE,,3A1,3,GRANADA HEIGHTS ADDN,93.75,16000,NELSON KIMBALL - CU104962022,"KIMBALL CONTRACTORS, LLC",20210226,
2,2021-02-26,"February 26, 2021",Alexandra Crowe - Cu118728339,257 Burma  NE,"Broken Arrow Communications Inc., State 48 Development Consulting",New Building,2,30000.0,"$30,000.00",BP-2021-05663,Commercial,New Building,257,BURMA,DR,NE,,18,2A,GALLAGHER ADDN,2,30000,ALEXANDRA CROWE - CU118728339,"BROKEN ARROW COMMUNICATIONS INC., STATE 48 DEVELOPMENT CONSULTING",20210226,
3,2021-02-25,"February 25, 2021",City Of Albuquerque,8411 Central Ave. NE,Earthtech Landscaping,Demolition - Demolition,0,0.0,,GP-2021-00691,Commercial,Demolition - Demolition,8411,CENTRAL,AV,NE,,5,6,MESA VERDE ADDN,0,0,CITY OF ALBUQUERQUE,EARTHTECH LANDSCAPING,20210225,0
4,2021-02-25,"February 25, 2021",Martin Grummer - Cu23278024,1912 1St St. NW,"A-1 Affordable Contractors, Martin Grummer Architect",Addition,172,35000.0,"$35,000.00",BP-2021-00986,Commercial,Addition,1912,1ST,ST,NW,,20,8,FRANCISCAN ADDN,172,35000,MARTIN GRUMMER - CU23278024,"A-1 AFFORDABLE CONTRACTORS, MARTIN GRUMMER ARCHITECT",20210225,
5,2021-02-25,"February 25, 2021",Tom Gifford - Cu58682790,330 Roma Ave. NE,"Pavilion Construction, LLC, Thomas Gifford Architect Llc",Alterations,2394,0.0,,BP-2020-28958,Commercial,Alterations,330,ROMA,AV,NE,,MARTINEZTOWN PLAN PHASE 2,0000,MARTINEZTOWN PLAN PHASE 2,2394,0,TOM GIFFORD - CU58682790,"PAVILION CONSTRUCTION, LLC, THOMAS GIFFORD ARCHITECT LLC",20210225,
6,2021-02-25,"February 25, 2021",Carlos  Torres - Cu66674539,2100 Louisiana Blvd. NE,"Hart Design And Construction Inc., Modulus Architects Inc.",Alterations,4200,92588.0,"$92,588.00",BP-2021-02251,Commercial,Alterations,2100,LOUISIANA,BLVD,NE,,A3,0000,WINROCK CENTER ADDN,4200,92588,CARLOS  TORRES - CU66674539,"HART DESIGN AND CONSTRUCTION INC., MODULUS ARCHITECTS, INC",20210225,
7,2021-02-24,"February 24, 2021",Amri,4200 Balloon Park Road NE,Scott'S Fencing Company Inc.,Wall - Site Wall > 6ft,0,186525.0,"$186,525.00",GP-2020-44702,Commercial,Wall - Site Wall > 6ft,4200,BALLOON PARK,RD,NE,,10A,0000,BALLOON FIELD INDUSTRIAL PARK,0,186525,AMRI,"SCOTT'S FENCING COMPANY, INC.",20210224,0
8,2021-02-24,"February 24, 2021",Kendra Moreno - Cu41707261,8801 Gibson Blvd. SW,"Insight Construction, LLC",New Building,11972,1500000.0,"$1,500,000.00",BP-2020-52318,Commercial,New Building,8801,GIBSON,BLVD,SW,,12B1,0000,EL RANCHO GRANDE 1,11972,1500000,KENDRA MORENO - CU41707261,"INSIGHT CONSTRUCTION, LLC",20210224,
9,2021-02-24,"February 24, 2021",Boxing Bear Brewery 2021,8420 Firestone  NE,Electrical Products Co.,Sign - Commercial Sign,0,2800.0,"$2,800.00",GP-2021-03197,Commercial,Sign - Commercial Sign,8420,FIRESTONE,LA,NE,,14A2B,0000,LOOP INDUSTRIAL DISTRICT UNIT 5,0,2800,BOXING BEAR BREWERY 2021,ELECTRICAL PRODUCTS COMPANY,20210224,0
10,2021-02-24,"February 24, 2021",Treveston Elliott - Cu70987967,8524 Indian School Road NE,"Klein Constructors, LLC, Treveston Elliott Architect",Alterations,8645,80000.0,"$80,000.00",BP-2021-07393,Commercial,Alterations,8524,INDIAN SCHOOL,RD,NE,,A3A2,20,BELLEHAVEN ADDN,8645,80000,TREVESTON ELLIOTT - CU70987967,"KLEIN CONSTRUCTORS, LLC, TREVESTON ELLIOTT ARCHITECT",20210224,
11,2021-02-24,"February 24, 2021",Treveston Elliott - Cu70987967,8524 Indian School Road NE,"Klein Constructors, LLC, Treveston Elliott Architect",Change of Use,3503,0.0,,BP-2021-08520,Commercial,Change of Use,8524,INDIAN SCHOOL,RD,NE,,A3A2,20,BELLEHAVEN ADDN,3503,0,TREVESTON ELLIOTT - CU70987967,"KLEIN CONSTRUCTORS, LLC, TREVESTON ELLIOTT ARCHITECT",20210224,
12,2021-02-24,"February 24, 2021",Amri,4240 Balloon Park Road NE,Scott'S Fencing Company Inc.,Wall - Site Wall > 6ft,0,46631.25,"$46,631.25",GP-2020-45768,Commercial,Wall - Site Wall > 6ft,4240,BALLOON PARK,RD,NE,,3A,0000,BALLOON FIELD INDUSTRIAL PARK,0,46631.25,AMRI,"SCOTT'S FENCING COMPANY, INC.",20210224,0
13,2021-02-24,"February 24, 2021",Jeff Hayes - Cu68888422,4120 Menaul Blvd. NE,Bear Restoration,Alterations,9575,71944.0,"$71,944.00",BP-2020-47484,Commercial,Alterations,4120,MENAUL,BLVD,NE,,A,11,ST VINCENT DE PAUL CAMPUS,9575,71944,JEFF HAYES - CU68888422,BEAR RESTORATION,20210224,
14,2021-02-23,"February 23, 2021",Jp Morgan Chase Bank,2125 Louisiana Blvd. NE,"Stitt, J.M. Construction Inc.",Demolition - Demolition,0,0.0,,GP-2021-05852,Commercial,Demolition - Demolition,2125,LOUISIANA,BLVD,NE,,1D1A1,0000,PARK SQUARE ADDN,0,0,JP MORGAN CHASE BANK,"STITT, J.M. CONSTRUCTION, INC.",20210223,0
15,2021-02-23,"February 23, 2021",Geri Martinez - Cu23375530,9009 Washington St. NE,Anchorbuilt Inc.,Alterations,250,15918.0,"$15,918.00",BP-2020-54173,Commercial,Alterations,9009,WASHINGTON,ST,NE,,34,0000,RICHFIELD PARK,250,15918,GERI MARTINEZ - CU23375530,"ANCHORBUILT, INC.",20210223,1
16,2021-02-23,"February 23, 2021",Dennis Caswell - Cu86107473,500 Marquette Ave. NW,Dpc Construction Ltd. Co.,Alterations,166,7000.0,"$7,000.00",BP-2021-03416,Commercial,Alterations,500,MARQUETTE,AV,NW,,1/CAVAN BUILDING,1,TIJERAS URBAN RENEWAL DISPOSTION BLOCK 9,166,7000,DENNIS CASWELL - CU86107473,DPC CONSTRUCTION LTD. CO.,20210223,
17,2021-02-23,"February 23, 2021",Xavier Nuno-Whelan - Cu85446517,730 Coors Blvd. NW,"White Knight Construction, Xavier Nuno-Whelan",Alterations,1287,9125.0,"$9,125.00",BP-2020-51053,Commercial,Alterations,730,COORS,BLVD,NW,,C2A1A2,0000,CAMPBELL LANDS,1287,9125,XAVIER NUNO-WHELAN - CU85446517,"WHITE KNIGHT CONSTRUCTION, XAVIER NUNO-WHELAN",20210223,1
