,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2020-03-27,"March 27, 2020",Nu Ferguson - Cu105928972,2402 Central Ave. SW,"Pacificap Construction, LLC",Alterations,993,0.0,,BP-2020-06186,Commercial,Alterations,2402,CENTRAL,AV,SW,,11A,6,TRACTION PARK & CITY ELECTRIC ADDN,993,0,NU FERGUSON - CU105928972,"PACIFICAP CONSTRUCTION, LLC",20200327,
1,2020-03-27,"March 27, 2020",Jarrod Cline - Cu35353185,500 Marquette Ave. NW,Perikin Enterprises Llc,Alterations,850,30000.0,"$30,000.00",BP-2020-11777,Commercial,Alterations,500,MARQUETTE,AV,NW,,1/CAVAN BUILDING,1,TIJERAS URBAN RENEWAL DISPOSTION BLOCK 9,850,30000,JARROD CLINE - CU35353185,PERIKIN ENTERPRISES LLC,20200327,500
2,2020-03-27,"March 27, 2020",Starbucks Coffee,1450 Montano Road NE,"Yesco, LLC",Sign - Commercial Sign,0,5000.0,"$5,000.00",GP-2019-44591,Commercial,Sign - Commercial Sign,1450,MONTANO,RD,NE,,C4,0000,RENAISSANCE CENTER 3,0,5000,STARBUCKS COFFEE,"YESCO, LLC",20200327,0
3,2020-03-27,"March 27, 2020",Nu Ferguson - Cu105928972,2402 Central Ave. SW,"Pacificap Construction, LLC",Alterations,5789,400000.0,"$400,000.00",BP-2020-03773,Commercial,Alterations,2402,CENTRAL,AV,SW,,11A,6,TRACTION PARK & CITY ELECTRIC ADDN,5789,400000,NU FERGUSON - CU105928972,"PACIFICAP CONSTRUCTION, LLC",20200327,
4,2020-03-27,"March 27, 2020",Stone Age Climbing Gym ,6300 Alameda Blvd. NE,Electrical Products Co.,Sign - Commercial Sign,0,0.0,,GP-2020-09151,Commercial,Sign - Commercial Sign,6300,ALAMEDA,BLVD,NE,,6A,29,N ABQ ACRES TR A UNIT B,0,0,STONE AGE CLIMBING GYM ,ELECTRICAL PRODUCTS COMPANY,20200327,0
5,2020-03-27,"March 27, 2020",Starbucks Coffee,111 Eubank Blvd. SE,"Yesco, LLC",Sign - Commercial Sign,0,7500.0,"$7,500.00",GP-2019-46885,Commercial,Sign - Commercial Sign,111,EUBANK,BLVD,SE,,2,0000,CENTRAL PARK PLACE,0,7500,STARBUCKS COFFEE,"YESCO, LLC",20200327,0
6,2020-03-27,"March 27, 2020",Clint  Do Not Use Wilsey - Cu41007784,2910 San Mateo Blvd. NE,Stoven Construction Inc.,Alterations,2029,70000.0,"$70,000.00",BP-2020-04117,Commercial,Alterations,2910,SAN MATEO,BLVD,NE,,14,67,BEL-AIR,2029,70000,CLINT  DO NOT USE WILSEY - CU41007784,"STOVEN CONSTRUCTION, INC.",20200327,
7,2020-03-25,"March 25, 2020",Kenneth Curley - Cu53609976,9800 Benavides Road SW,"Enertech Resources, LLC, Infinigy",Alterations,200,6086.0,"$6,086.00",BP-2019-12191,Commercial,Alterations,9800,BENAVIDES,RD,SW,,57B1/WESTSIDE BAPTIST CHURCH,57,ATRISCO VILLAGE UNIT 5,200,6086,KENNETH CURLEY - CU53609976,"ENERTECH RESOURCES, LLC, INFINIGY",20200325,
8,2020-03-25,"March 25, 2020",Hagen Properties Llc,8310 Palomas Ave. NE,Trinity Construction,Wall - Retaining Wall > 2' Retention,0,5000.0,"$5,000.00",GP-2020-11171,Commercial,Wall - Retaining Wall > 2' Retention,8310,PALOMAS,AV,NE,,13,22,N ABQ ACRES TRACT A UNIT A,0,5000,HAGEN PROPERTIES LLC,TRINITY CONSTRUCTION,20200325,0
9,2020-03-24,"March 24, 2020",Scott Anderson - Cu35351882,4900 2Nd St. NW,"F & F Southwestern Llc, Scott C. Anderson",Addition,6460,30000.0,"$30,000.00",BP-2019-15143,Commercial,Addition,4900,2ND,ST,NW,,1,0000,HENNRICH--FRED J ADDN,6460,30000,SCOTT ANDERSON - CU35351882,"F & F SOUTHWESTERN LLC, SCOTT C. ANDERSON",20200324,1
