,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2022-05-19,"May 19, 2022",Paradise Exotics,4615 Menaul Blvd. NE,Electrical Products Co.,,0,2500.0,"$2,500.00",GP-2022-16812,Commercial,a commercial sign,4615,MENAUL,BLVD,NE,,9,21,BEL AIR,0,2500,PARADISE EXOTICS,ELECTRICAL PRODUCTS COMPANY,20220519,0
1,2022-05-19,"May 19, 2022",Brian Verardo ,10130 Lomas Blvd. NE,"Jaynes Corp., Morrow Reardon Wilkinson Miller Ltd Landscape Architects",,3640,0.0,,BP-2021-46336,Commercial,commercial an addition phase,10130,LOMAS,BLVD,NE,,4/LOS ALTOS PARK,0000,MUNICIPAL ADDN NO 2,3640,0,BRIAN VERARDO - CU144567569,"JAYNES CORPORATION, MORROW REARDON WILKINSON MILLER LTD LANDSCAPE ARCHITECTS",20220519,
2,2022-05-19,"May 19, 2022","City Of Albuquerque, Parks And Recreation Department",10130 Lomas Blvd. NE,"Jaynes Corp., Morrow Reardon Wilkinson Miller Ltd Landscape Architects",,0,1.0,$1.00,GP-2021-46339,Commercial,wall - retaining wall > 2' retention,10130,LOMAS,BLVD,NE,,4/LOS ALTOS PARK,0000,MUNICIPAL ADDN NO 2,0,1,"CITY OF ALBUQUERQUE, PARKS AND RECREATION DEPARTMENT","JAYNES CORPORATION, MORROW REARDON WILKINSON MILLER LTD LANDSCAPE ARCHITECTS",20220519,0
3,2022-05-19,"May 19, 2022",Spectrum Services ,145 Quincy St. NE,"Vertical 1 Communications, LLC, Spectrum",,15,20000.0,"$20,000.00",BP-2022-14520,Commercial,alterations,145,QUINCY,ST,NE,,5,41,VALLEY VIEW ADDN,15,20000,SPECTRUM SERVICES - CU117773546,"VERTICAL 1 COMMUNICATIONS, LLC, SPECTRUM",20220519,
4,2022-05-19,"May 19, 2022",Brian Verardo ,10130 Lomas Blvd. NE,"Jaynes Corp., Morrow Reardon Wilkinson Miller Ltd Landscape Architects",,3085,1600000.0,"$1,600,000.00",BP-2021-40007,Commercial,city project,10130,LOMAS,BLVD,NE,,4/LOS ALTOS PARK,0000,MUNICIPAL ADDN NO 2,3085,1600000,BRIAN VERARDO - CU144567569,"JAYNES CORPORATION, MORROW REARDON WILKINSON MILLER LTD LANDSCAPE ARCHITECTS",20220519,
5,2022-05-19,"May 19, 2022",Kenneth Myers ,99999 Lomas Blvd. NW,Renaissance Man Construction Inc.,,1243,20000.0,"$20,000.00",BP-2022-05857,Commercial,alterations,99999,LOMAS,BLVD,NW,,A,18,ARMIJO--PERFECTO & BROTHERS ADDN,1243,20000,KENNETH MYERS - CU126508399,RENAISSANCE MAN CONSTRUCTION INC,20220519,
6,2022-05-19,"May 19, 2022",Dry Heat Comedy Club,521 Central Ave. NW,"Signplex, LLC",,0,0.0,,GP-2022-17545,Commercial,a commercial sign,521,CENTRAL,AV,NW,,24,12,ORIGINAL TOWNSITE OF ABQ,0,0,DRY HEAT COMEDY CLUB,"SIGNPLEX, LLC",20220519,0
7,2022-05-19,"May 19, 2022",Daniel  Gonzalez ,2803 Richmond  NE,"Dgr Steel Services, LLC",,480,43840.5,"$43,840.50",BP-2022-03716,Commercial,a new building,2803,RICHMOND,DR,NE,,5,B,DUKE CITY INDUSTRIAL AREA ADDN,480,43840.5,DANIEL  GONZALEZ - CU152623721,"DGR STEEL SERVICES, LLC",20220519,
8,2022-05-19,"May 19, 2022",Dwf,540 Silver Creek Road NW,Electrical Products Co.,,0,2500.0,"$2,500.00",GP-2022-16813,Commercial,a commercial sign,540,SILVER CREEK,RD,NW,,4,0000,MERIDIAN BUSINESS PARK,0,2500,DWF,ELECTRICAL PRODUCTS COMPANY,20220519,0
9,2022-05-19,"May 19, 2022",Hill Davison,1001 Central Ave. NW,C&C Services Commercial Construction Llc,,0,0.0,,GP-2022-22729,Commercial,demolition - demolition,1001,CENTRAL,AV,NW,,7,56,ORIGINAL TOWNSITE OF ABQ,0,0,HILL DAVISON,C&C SERVICES COMMERCIAL CONSTRUCTION LLC,20220519,0
