,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2021-07-09,"July 09, 2021",Kevin Georges - Cu23531153,4101 Indian School Road NE,"Richardson & Richardson Inc., Kevin Georges And Associates",Alterations,800,50000.0,"$50,000.00",BP-2021-15195,Commercial,Alterations,4101,INDIAN SCHOOL,RD,NE,,B2,0000,ALTURA COMPLEX,800,50000,KEVIN GEORGES - CU23531153,"RICHARDSON & RICHARDSON INC, KEVIN GEORGES AND ASSOCIATES",20210709,
1,2021-07-09,"July 09, 2021",Audrey Chabaud - Cu68933733,6201 Menaul Blvd. NE,"Idgroup, Retail Construction Services Inc.",Alterations,2322,758168.1,"$758,168.10",BP-2021-25366,Commercial,Alterations,6201,MENAUL,BLVD,NE,,1,3,VISTA ENCANTADA,2322,758168.1,AUDREY CHABAUD - CU68933733,"IDGROUP, RETAIL CONSTRUCTION SERVICES INC",20210709,
2,2021-07-09,"July 09, 2021",Chaitanya Korra - Cu109219774,901 Tramway Blvd. NE,"Greenfield Construction, LLC",Alterations,7265,0.0,,BP-2021-30178,Commercial,Alterations,901,TRAMWAY,BLVD,NE,,B,0000,VISTA ORIENTE,7265,0,CHAITANYA KORRA - CU109219774,"GREENFIELD CONSTRUCTION, LLC",20210709,
3,2021-07-08,"July 08, 2021",Ricky Montez - Cu23489967,2621 Wyoming Blvd. NE,4 Girls & A Boy Electric,Alterations,3031,218110.76,"$218,110.76",BP-2021-15401,Commercial,Alterations,2621,WYOMING,BLVD,NE,,B,A,SOMBRA DEL MONTE,3031,218110.76,RICKY MONTEZ - CU23489967,4 GIRLS & A BOY ELECTRIC,20210708,
4,2021-07-08,"July 08, 2021",Doug Heller - Cu76280795,6220 San Mateo Blvd. NE,"Hei Inc., Mullen Heller Architecture",Alterations,2867,50000.0,"$50,000.00",BP-2021-27288,Commercial,Alterations,6220,SAN MATEO,BLVD,NE,,1A,0000,DRG ASSOCIATES SUBD,2867,50000,DOUG HELLER - CU76280795,"HEI, INC., MULLEN HELLER ARCHITECTURE",20210708,1
5,2021-07-07,"July 07, 2021",Hc Group Dps - Cu66556058,6301 Forest Hills  NE,Wescon Construction Inc.,Pool,1824,0.0,,BP-2021-29777,Commercial,Pool,6301,FOREST HILLS,DR,NE,,2,0000,NEW HEART CENTER,1824,0,HC GROUP DPS - CU66556058,"WESCON CONSTRUCTION, INC.",20210707,
6,2021-07-07,"July 07, 2021",Daniel Branch - Cu48845897,1605 Indian School Road NW,"Enertech Resources, LLC",Alterations,743,30000.0,"$30,000.00",BP-2021-15411,Commercial,Alterations,1605,INDIAN SCHOOL,RD,NW,,A1,5,GLENWAY PARK ADDN,743,30000,DANIEL BRANCH - CU48845897,"ENERTECH RESOURCES, LLC",20210707,
7,2021-07-06,"July 06, 2021",Murphy Express ,9700 Montgomery Blvd. NE,Burke Outdoor Advertising Inc.,Sign - Commercial Sign,0,0.0,,GP-2021-22608,Commercial,Sign - Commercial Sign,9700,MONTGOMERY,BLVD,NE,,1A,0000,CODA DEVELOPMENT,0,0,MURPHY EXPRESS ,"BURKE OUTDOOR ADVERTISING, INC.",20210706,0
8,2021-07-06,"July 06, 2021",Kevin Juno - Cu63388370,2201 Vista Oriente St. NW,Lassen Enterprises Llc,New Building,10080,0.0,,BP-2021-29247,Commercial,New Building,2201,VISTA ORIENTE,ST,NW,,1,0000,LADERA BUSINESS PARK UNIT 2,10080,0,KEVIN JUNO - CU63388370,LASSEN ENTERPRISES LLC,20210706,
9,2021-07-06,"July 06, 2021","Ladera Enterprises, Llc",2201 Vista Oriente St. NW,"Lassen Enterprises Llc, Juno Architects",Wall - Subdivision Wall,0,1.0,$1.00,GP-2021-18309,Commercial,Wall - Subdivision Wall,2201,VISTA ORIENTE,ST,NW,,1,0000,LADERA BUSINESS PARK UNIT 2,0,1,"LADERA ENTERPRISES, LLC","LASSEN ENTERPRISES LLC, JUNO ARCHITECTS",20210706,0
