,proper_date,permit_date,owner_name,combined_address,contractor_name,type_of_work,int_sq_feet,int_valuation,currency_valuation,ApplicationPermitNumber,CommercialorResidential,TypeofWork,SiteNumber,SiteStreet,SiteStreetType,SiteStreetDirectional,SiteZip,Lot,Block,Subdivision,TotalSquareFeet,PlanCheckValuation,OwnerName,ContractorName,IssueDate,NumberOfUnits
0,2022-03-04,"Mar 04, 2022",Sterling Massey ,7701 Candelaria Road NE,"Enertech Resources, Llc, Spectrum Pro Services Inc.",,300,40000.0,"$40,000.00",BP-2021-21639,Commercial,alterations,7701,CANDELARIA,RD,NE,,A,40,BROAD ACRES,300,40000,STERLING MASSEY - CU122712574,"ENERTECH RESOURCES, LLC, SPECTRUM PRO SERVICES, INC.",20220304,
1,2022-03-04,"Mar 04, 2022",Scott Anderson ,6500 Hanover Road NW,"Acg Engineering, Scott C. Anderson",,35620,50000.0,"$50,000.00",BP-2021-51106,Commercial,an addition,6500,HANOVER,RD,NW,,2A,0000,MIRA MESA ESTATES,35620,50000,SCOTT ANDERSON - CU35351882,"ACG ENGINEERING, SCOTT C. ANDERSON",20220304,
2,2022-03-04,"Mar 04, 2022",Abq Airport Lodging ,3021 University Blvd. SE,Hilltop Landscape Architects & Contrs,,0,182500.0,"$182,500.00",GP-2022-01544,Commercial,wall - retaining wall > 2' retention,3021,UNIVERSITY,BLVD,SE,,3A2A,1,SUNPORT PARK,0,182500,ABQ AIRPORT LODGING ,HILLTOP LANDSCAPE ARCHITECTS & CONTRS,20220304,0
3,2022-03-04,"Mar 04, 2022",The Villas,205 7Th St. NW,"Modcon Construction, LLC, Baker Architecture & Design",,0,15713.0,"$15,713.00",GP-2022-03178,Commercial,a site wall,205,7TH,ST,NW,,14,7,ORIGINAL TOWNSITE OF ABQ,0,15713,THE VILLAS,"MODCON CONSTRUCTION, LLC, BAKER ARCHITECTURE & DESIGN",20220304,0
4,2022-03-04,"Mar 04, 2022",Les Gutierrez ,1020 Tijeras Ave. NW,Tsi Tower Services Inc.,,15,17000.0,"$17,000.00",BP-2022-01766,Commercial,a new building,1020,TIJERAS,AV,NW,,11,55,ORIGINAL TOWNSITE OF ABQ,15,17000,LES GUTIERREZ - CU61105757,TSI TOWER SERVICES INC,20220304,
5,2022-03-04,"Mar 04, 2022",William Kleinschmidt ,1325 Park Ave. SW,"William Kleinschmidt Architect, Home Planning Legacy Llc",,5275,16933.0,"$16,933.00",BP-2022-08210,Commercial,alterations,1325,PARK,AV,SW,,LEVY TRACT,0000,LEVY TRACT,5275,16933,WILLIAM KLEINSCHMIDT - CU40551596,"WILLIAM KLEINSCHMIDT ARCHITECT, HOME PLANNING LEGACY LLC",20220304,5
6,2022-03-03,"Mar 03, 2022",Mario Munoz,7800 Headline Blvd. NE,"Pavilion Construction, LLC",,0,70000.0,"$70,000.00",GP-2022-01139,Commercial,wall - retaining wall > 2' retention,7800,HEADLINE,BLVD,NE,,2A2A2B1A,0000,JOURNAL CENTER,0,70000,MARIO MUNOZ,"PAVILION CONSTRUCTION, LLC",20220303,0
7,2022-03-03,"Mar 03, 2022",Firenze Pizzeria,12501 Candelaria Road NE,Signart Of New Mexico Inc.,,0,0.0,,GP-2022-05308,Commercial,a commercial sign,12501,CANDELARIA,RD,NE,,A, ,CANDELARIA & TRAMWAY SW,0,0,FIRENZE PIZZERIA,"SIGNART OF NEW MEXICO, INC.",20220303,0
8,2022-03-03,"Mar 03, 2022",Jane Swallows ,601 Minaret  SW,"Collins Engine Generator Service Inc., J5 Infrastructure Partners",,10,30000.0,"$30,000.00",BP-2022-02188,Commercial,a new building,601,MINARET,DR,SW,,31-P1,0000,SAN YGNACIO PLACE,10,30000,JANE SWALLOWS - CU94536665,"COLLINS ENGINE GENERATOR SERVICE INC., J5 INFRASTRUCTURE PARTNERS",20220303,
9,2022-03-03,"Mar 03, 2022",Jane Swallows ,911 Four Hills Road SE,"Tsi Tower Services Inc., J5 Infrastructure Partners",,35,40000.0,"$40,000.00",BP-2021-50685,Commercial,alterations,911,FOUR HILLS,RD,SE,,2/FOUR HILLS GOLF COURSE,0000,FOUR HILLS COUNTRY CLUB,35,40000,JANE SWALLOWS - CU94536665,"TSI TOWER SERVICES INC, J5 INFRASTRUCTURE PARTNERS",20220303,
